IdEmpleado,IdEmpresa,IdLiquidacion,IdTurno,IdPermiso,Fecha,Descripcion,TipoDeDescripcion,MarcacionEntrada,MarcacionSalida,HTRAB,HO,HDES,HED,HEN,HEDF,RN,TempDomLab,HRET,HSANT,HOPermisoRemunerado,IdProgramacion,HoraInicioPermiso,HoraFinPermiso,FechaCompensatorio,nombre_dia
53.0,1.0,706482.0,20.0,,2023-03-13,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Monday
53.0,1.0,706483.0,20.0,,2023-03-14,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2336.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Tuesday
53.0,1.0,706484.0,,,2023-03-15,05:45 - 13:45,2.0, 05:45, 14:35,8.83,7.5,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2597.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Wednesday
53.0,1.0,706485.0,,,2023-03-16,06:25 - 14:25,2.0, 06:25, 15:15,8.83,7.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2598.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
53.0,1.0,706486.0,,,2023-03-17,04:45 - 12:45,2.0, 04:45, 17:30,12.75,7.5,0.5,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,2599.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
53.0,1.0,706487.0,,,2023-03-18,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Saturday
53.0,1.0,706488.0,,,2023-03-19,FNP(DOM),4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sunday
53.0,1.0,706489.0,,,2023-03-20,FNP(FES),4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Monday
53.0,1.0,706490.0,,,2023-03-21,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Tuesday
53.0,1.0,706491.0,,,2023-03-22,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Wednesday
53.0,1.0,706492.0,,,2023-03-23,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Thursday
53.0,1.0,706493.0,,,2023-03-24,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
53.0,1.0,706493.0,,,2023-03-24,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2581.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
53.0,1.0,706493.0,,,2023-03-24,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
53.0,1.0,706494.0,20.0,,2023-03-25,08:00 - 18:00,2.0, 08:00, 18:00,10.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2347.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
53.0,1.0,706495.0,20.0,,2023-03-26,08:00 - 18:00 (Domingo),2.0, 08:00, 18:00,10.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2348.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Sunday
53.0,1.0,706496.0,20.0,,2023-03-27,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Monday
53.0,1.0,706497.0,20.0,,2023-03-28,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Tuesday
53.0,1.0,706498.0,20.0,,2023-03-29,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2351.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Wednesday
53.0,1.0,706499.0,20.0,,2023-03-30,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2352.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
53.0,1.0,706500.0,20.0,,2023-03-31,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2353.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
53.0,1.0,706501.0,,,2023-04-01,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Saturday
53.0,1.0,706502.0,,,2023-04-02,FNP(DOM),4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sunday
